name,lvl,xp,title,rank,current_lvl,current_xp,first_xp,first_lvl,gained_xp,old_names,wom_id,wom_name,score,inactive,deactivated,deactivated_xp,deactivated_lvl,deactivated_date,reactivated_xp,reactivated_lvl,reactivated_date
Kaiteno,1712,53535325,,Dragonstone,1985,153116667,53535325,1712,33394251,,302162,Kaiteno,,false,false,,,,,,
Minx,2277,335790541,,Onyx,2277,547921734,335790541,2277,23247244,,19695,Minx,11,false,false,,,,,,
roinrin,1709,39455343,Staff,Dragonstone,2146,194569984,39455343,1709,39227831,,635113,Roinrin,2,false,false,194569984,2146,2023-08-02 19:12:31 UTC,194569984,2146,2023-08-02 19:14:30 UTC
Kelvin xo,1877,159088654,,Dragonstone,2063,279903656,159088654,1877,6832,,770924,Kelvin xo,3,false,false,,,,,,
MrBigSimp,1779,50793058,,Diamond,1983,125022056,50793058,1779,13119655,,770923,MrBigSimp,,false,false,,,,,,
Reubon,2206,299141310,,Diamond,2277,379533833,299141310,2206,1274012,,325771,Reubon,,false,false,,,,,,
Dainz,1951,134846700,,Dragonstone,2141,249650901,134846700,1951,0,,359857,Dainz,,false,false,249650901,2141,2023-08-02 18:43:49 UTC,249650901,2141,2023-08-02 18:52:59 UTC
Mental Sync,1874,98277845,,Diamond,2074,187937827,98277845,1874,0,,561927,Mental Sync,,false,false,187937827,2074,2023-08-02 19:00:34 UTC,187937827,2074,2023-08-02 19:14:50 UTC
TMF512,1687,51156975,,Diamond,1911,108992225,51156975,1687,119103,,770918,TMF512,,false,false,,,,,,
chimmy,2136,209462306,,Dragonstone,2255,299860186,209462306,2136,15321464,,271368,chimmy,5,false,false,,,,,,
Hezz,2125,297834169,,Dragonstone,2172,390220467,297834169,2125,28349592,,638451,Hezz,5,false,false,,,,,,
XCShark,2033,138576007,,Diamond,2125,182077697,138576007,2033,3170870,,44928,XCShark,,false,false,,,,,,
zuv arik,2021,180551238,,Diamond,2125,251598605,180551238,2021,0,,770892,zuv arik,,false,false,,,,,,
